num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean, Energy-Std,Cz-Ferro, Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro, Mx-Ferro, Mx-Antiferro, Nz-Ferro, Nz-Antiferro, net_overlap, std_mean 
0,-35.44537,0.04651,0.15031,551.00000,189.01534,-35.50765,0.15031,-35.49799,0.21939,-0.13743,0.97286,0.00206,0.98406,0.87310,0.87310,-0.98600,0.98600,0.00000, 0.00423
1,-35.44553,0.03960,0.17395,561.00000,192.14023,-35.50643,0.17395,-35.46526,0.64524,-0.13743,0.97229,0.00156,0.98456,0.82711,0.82711,-0.98771,0.98771,0.00000, 0.00490
2,-35.42867,0.05168,0.17540,564.00000,194.90995,-35.49627,0.17540,-35.46262,1.02767,-0.13743,0.97514,0.00181,0.98281,0.89620,0.89620,-0.98571,0.98571,0.00000, 0.00494
3,-35.48251,0.02186,0.14048,649.00000,221.43305,-35.50054,0.14048,-35.44546,0.85889,-0.13886,0.97314,0.00188,0.98312,0.87235,0.87235,-0.98486,0.98486,0.00000, 0.00396
4,-35.46563,0.03142,0.07214,566.00000,190.21903,-35.50238,0.07214,-35.46712,0.69014,-0.13800,0.97743,0.00206,0.98306,0.85066,0.85066,-0.98571,0.98571,0.00000, 0.00203
5,-35.47087,0.02444,0.15422,596.00000,202.14971,-35.49847,0.15422,-35.46609,0.62122,-0.13400,0.96714,0.00231,0.98181,0.85162,0.85162,-0.98400,0.98400,0.00000, 0.00434
6,-35.47901,0.02018,0.17704,649.00000,220.74357,-35.49508,0.17704,-35.44445,1.12995,-0.13800,0.96600,0.00244,0.97819,0.84777,0.84777,-0.97971,0.97971,0.00000, 0.00499
7,-35.47754,0.01975,0.07740,597.00000,202.17349,-35.50181,0.07740,-35.48013,0.71908,-0.13657,0.96229,0.00263,0.97737,0.83649,0.83649,-0.98057,0.98057,0.00000, 0.00218
8,-35.48189,0.02056,0.12006,611.00000,206.06835,-35.49268,0.12006,-35.46260,0.65043,-0.13943,0.96400,0.00225,0.98125,0.85114,0.85114,-0.98286,0.98286,0.00000, 0.00338
9,-35.47365,0.02208,0.13299,601.00000,203.56343,-35.49900,0.13299,-35.47868,0.50893,-0.13914,0.97571,0.00156,0.98681,0.88947,0.88947,-0.98829,0.98829,0.00000, 0.00375
