Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J1,J2,Length
0,-11.41598,0.00628,0.05564,526,16.59535,-11.42006,0.05564,-11.4254,0.14957,-0.318,-0.318,0.01325,0.01125,0.99674,0.99674,-0.29733,0.29733,0,0.00487,-1,-5,4
1,-11.37225,0.01296,0.04389,381,11.66789,-11.38278,0.04389,-11.35707,0.60746,-0.32,-0.32267,0.0115,0.0095,0.99617,0.99617,-0.316,0.316,0,0.00386,-1,-5,4
2,-11.41186,0.00464,0.05448,699,21.63234,-11.41913,0.05448,-11.42249,0.11134,-0.30933,-0.32133,0.0135,0.0125,0.9978,0.9978,-0.30267,0.30267,0,0.00477,-1,-5,4
3,-11.41196,0.00522,0.05082,778,23.80956,-11.41855,0.05082,-11.42646,0.065,-0.326,-0.32467,0.00675,0.00675,0.99473,0.99473,-0.30733,0.30733,0,0.00445,-1,-5,4
4,-11.39437,0.00477,0.05068,577,17.85561,-11.40068,0.05068,-11.40211,0.07406,-0.32067,-0.32333,0.00875,0.00875,0.99524,0.99524,-0.30733,0.30733,0,0.00445,-1,-5,4
5,-11.37001,0.01556,0.05391,405,14.09116,-11.38096,0.05391,-11.38212,0.53469,-0.31933,-0.32333,0.01075,0.00975,0.99456,0.99456,-0.316,0.316,0,0.00474,-1,-5,4
6,-11.37084,0.01447,0.05383,325,10.75266,-11.3806,0.05383,-11.37341,0.35554,-0.32133,-0.32533,0.0085,0.0095,0.99362,0.99362,-0.32333,0.32333,0,0.00473,-1,-5,4
7,-11.41031,0.00539,0.05197,706,21.97465,-11.41837,0.05197,-11.42459,0.07818,-0.308,-0.316,0.0135,0.0135,0.99671,0.99671,-0.29933,0.29933,0,0.00455,-1,-5,4
8,-11.41635,0.0064,0.05143,770,23.93756,-11.42117,0.05143,-11.43161,0.10049,-0.322,-0.31667,0.01025,0.01125,0.99569,0.99569,-0.304,0.304,0,0.0045,-1,-5,4
9,-11.37227,0.01138,0.04267,390,12.39615,-11.37929,0.04267,-11.35218,0.50868,-0.32133,-0.328,0.008,0.008,0.99615,0.99615,-0.32533,0.32533,0,0.00375,-1,-5,4
0,-11.22396,0.00571,0.05426,534,17.37508,-11.22795,0.05426,-11.23206,0.09007,-0.322,-0.318,0.01075,0.01075,0.99674,0.99674,-0.30067,0.30067,0,0.00483,-1,-4.9,4
1,-11.17955,0.013,0.03423,381,11.89654,-11.18852,0.03423,-11.17214,0.57495,-0.32,-0.32,0.012,0.01,0.99617,0.99617,-0.314,0.314,0,0.00306,-1,-4.9,4
2,-11.22332,0.00496,0.05128,727,22.73835,-11.23101,0.05128,-11.23744,0.17332,-0.31067,-0.32533,0.0115,0.0125,0.9978,0.9978,-0.30067,0.30067,0,0.00457,-1,-4.9,4
3,-11.22209,0.00481,0.05058,746,23.62535,-11.22828,0.05058,-11.23485,0.11753,-0.30467,-0.31533,0.01425,0.01525,0.99473,0.99473,-0.30067,0.30067,0,0.00451,-1,-4.9,4
4,-11.20362,0.00443,0.04527,619,18.72761,-11.20856,0.04527,-11.20587,0.12342,-0.31667,-0.33,0.00875,0.00875,0.99524,0.99524,-0.314,0.314,0,0.00404,-1,-4.9,4
5,-11.22305,0.00599,0.04054,985,32.36118,-11.23027,0.04054,-11.23549,0.15339,-0.31467,-0.31333,0.0115,0.0135,0.99456,0.99456,-0.29733,0.29733,0,0.00361,-1,-4.9,4
6,-11.20218,0.00537,0.05027,557,17.768,-11.20535,0.05027,-11.20028,0.16461,-0.32333,-0.31933,0.00925,0.00925,0.99362,0.99362,-0.31067,0.31067,0,0.00449,-1,-4.9,4
7,-11.21984,0.00552,0.05128,689,21.43947,-11.22591,0.05128,-11.23318,0.1132,-0.30867,-0.32733,0.01425,0.01525,0.99671,0.99671,-0.30467,0.30467,0,0.00457,-1,-4.9,4
8,-11.22417,0.00567,0.05372,733,23.49939,-11.23105,0.05372,-11.23411,0.15164,-0.31667,-0.31933,0.01125,0.01125,0.99569,0.99569,-0.306,0.306,0,0.00478,-1,-4.9,4
9,-11.18382,0.00888,0.03089,454,13.85082,-11.18615,0.03089,-11.18961,0.20903,-0.31733,-0.32133,0.009,0.01,0.99615,0.99615,-0.322,0.322,0,0.00276,-1,-4.9,4
0,-11.03612,0.00564,0.05329,490,15.39104,-11.04143,0.05329,-11.04772,0.27947,-0.30667,-0.324,0.0135,0.0145,0.99674,0.99674,-0.302,0.302,0,0.00483,-1,-4.8,4
1,-10.98885,0.01182,0.0459,381,12.07937,-10.99732,0.0459,-10.97695,0.55441,-0.31933,-0.32067,0.01225,0.01025,0.99617,0.99617,-0.314,0.314,0,0.00417,-1,-4.8,4
2,-11.03317,0.00555,0.03876,739,23.8339,-11.0408,0.03876,-11.04331,0.15754,-0.31267,-0.322,0.01175,0.01175,0.9978,0.9978,-0.302,0.302,0,0.00351,-1,-4.8,4
