Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J,Length
0,-15.29324,0.01437,0.05175,305,8.74279,-15.30169,0.05175,-15.28347,0.58392,-0.32533,0.976,0.006,0.984,0.99674,0.99674,-0.98,0.98,0,0.00338,-5,4
1,-15.29188,0.01252,0.06315,380,10.78534,-15.30437,0.06315,-15.29138,0.41719,-0.31933,0.96067,0.00625,0.97725,0.99617,0.99617,-0.97667,0.97667,0,0.00413,-5,4
2,-15.29251,0.01492,0.06482,348,10.08242,-15.30485,0.06482,-15.29292,0.29912,-0.32,0.96933,0.0055,0.9825,0.9978,0.9978,-0.98333,0.98333,0,0.00424,-5,4
3,-15.294,0.0118,0.07437,336,9.58556,-15.30135,0.07437,-15.29519,0.30704,-0.322,0.97533,0.00525,0.98325,0.99473,0.99473,-0.982,0.982,0,0.00486,-5,4
4,-15.29509,0.01456,0.07036,346,10.11901,-15.30516,0.07036,-15.30741,0.08963,-0.32133,0.968,0.0055,0.9825,0.99524,0.99524,-0.98133,0.98133,0,0.0046,-5,4
5,-15.29452,0.01243,0.05874,413,11.9417,-15.30639,0.05874,-15.3097,0.07024,-0.316,0.96267,0.0085,0.9745,0.99456,0.99456,-0.97133,0.97133,0,0.00384,-5,4
6,-15.28915,0.01543,0.07482,263,7.71016,-15.31148,0.07482,-15.30617,0.05718,-0.326,0.97,0.00575,0.98275,0.99362,0.99362,-0.98,0.98,0,0.00489,-5,4
7,-15.2942,0.01067,0.06868,413,11.97586,-15.30661,0.06868,-15.29342,0.31525,-0.32,0.96933,0.0075,0.9765,0.99671,0.99671,-0.974,0.974,0,0.00449,-5,4
8,-15.29754,0.00981,0.06143,458,13.23789,-15.30798,0.06143,-15.2789,0.62295,-0.322,0.96333,0.00675,0.97675,0.99569,0.99569,-0.976,0.976,0,0.00401,-5,4
9,-15.29367,0.01542,0.05979,271,7.91128,-15.3042,0.05979,-15.30675,0.17881,-0.32133,0.97067,0.005,0.982,0.99615,0.99615,-0.982,0.982,0,0.00391,-5,4
0,-14.99946,0.01401,0.05293,305,8.83934,-15.00781,0.05293,-14.98613,0.58183,-0.32467,0.97533,0.00625,0.98325,0.99674,0.99674,-0.97933,0.97933,0,0.00353,-4.9,4
1,-14.99896,0.0104,0.07487,403,11.56952,-15.00714,0.07487,-15.01059,0.10553,-0.31933,0.978,0.00525,0.98425,0.99617,0.99617,-0.98333,0.98333,0,0.00499,-4.9,4
2,-14.99746,0.01635,0.07229,348,10.04388,-15.01107,0.07229,-14.99944,0.29082,-0.31867,0.96667,0.006,0.981,0.9978,0.9978,-0.982,0.982,0,0.00482,-4.9,4
3,-14.99882,0.01482,0.05779,292,8.50276,-15.01253,0.05779,-15.01532,0.07427,-0.31867,0.96533,0.007,0.979,0.99473,0.99473,-0.97667,0.97667,0,0.00385,-4.9,4
4,-15.0016,0.01437,0.07149,346,10.02962,-15.01237,0.07149,-15.01526,0.09295,-0.32067,0.96467,0.00625,0.98025,0.99524,0.99524,-0.978,0.978,0,0.00476,-4.9,4
5,-14.9973,0.0146,0.07389,400,11.53137,-15.01245,0.07389,-14.99115,0.53818,-0.31933,0.97133,0.00575,0.98375,0.99456,0.99456,-0.98467,0.98467,0,0.00492,-4.9,4
6,-14.9953,0.01559,0.07136,263,7.73156,-15.01791,0.07136,-15.01298,0.05487,-0.326,0.97,0.00575,0.98275,0.99362,0.99362,-0.98,0.98,0,0.00475,-4.9,4
