num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-75.88137,0.02204,0.33322,142.0,20.10769,-75.88948,0.33322,-75.91113,0.48441,-0.0652,0.9732,0.00073,0.98898,0.00088,0.00088,-0.98947,0.98947,0.0,0.00439,-5.0,16
1,-75.8828,0.0241,0.36451,347.0,48.00941,-75.90022,0.36451,-75.89507,0.46689,-0.06547,0.98787,0.00086,0.98861,0.00175,0.00175,-0.98867,0.98867,0.0,0.0048,-5.0,16
2,-75.87867,0.02297,0.3614,175.0,24.35753,-75.8737,0.3614,-75.88663,0.39854,-0.06453,0.97653,0.00078,0.98828,0.00194,0.00194,-0.9892,0.9892,0.0,0.00476,-5.0,16
3,-67.79573,0.02221,0.30954,1548.0,217.77217,-67.82336,0.30954,-67.77225,1.02887,-0.0056,-0.20827,0.00775,0.08756,0.00075,0.00075,-0.85573,0.85573,0.0,0.00456,-5.0,16
4,-74.60935,2.07346,0.36759,517.0,73.61058,-75.73321,0.36759,-75.70553,0.49831,-0.0624,0.96187,0.00072,0.98834,0.00124,0.00124,-0.99067,0.99067,0.0,0.00485,-5.0,16
5,-75.88523,0.01764,0.34484,501.0,69.27045,-75.88983,0.34484,-75.90828,0.44386,-0.06373,0.9736,0.00091,0.98597,0.00075,0.00075,-0.9876,0.9876,0.0,0.00454,-5.0,16
6,-75.51952,0.16744,0.30729,1784.0,252.1249,-75.64009,0.30729,-75.8049,3.1108,-0.06373,0.9768,0.00053,0.99203,0.00125,0.00125,-0.99387,0.99387,0.0,0.00406,-5.0,16
7,-67.7386,0.01814,0.33371,1328.0,187.68248,-67.76685,0.33371,-67.72133,0.84396,-0.00307,-0.27747,0.00839,0.08264,0.0015,0.0015,-0.85373,0.85373,0.0,0.00492,-5.0,16
8,-75.44934,0.16906,0.31484,1635.0,228.69951,-75.60603,0.31484,-75.64356,0.7723,-0.06333,0.96893,0.00073,0.98767,0.001,0.001,-0.99027,0.99027,0.0,0.00416,-5.0,16
9,-75.53445,0.23809,0.27512,863.0,122.13362,-75.74022,0.27512,-75.83149,1.70464,-0.06453,0.98213,0.00081,0.98831,0.0005,0.0005,-0.98933,0.98933,0.0,0.00363,-5.0,16
