num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
0,-75.85481,0.03116,0.25399,591.0,300.67403,-75.90433,0.25399,-75.85873,0.65012,-0.06467,0.978,0.00048,0.99011,0.00088,0.00088,-0.9924,0.9924,0.0,0.00335,-5.0,16
1,-75.86709,0.02424,0.33153,634.0,307.7336,-75.88278,0.33153,-75.87811,0.53284,-0.0648,0.97653,0.00091,0.98466,0.00175,0.00175,-0.98613,0.98613,0.0,0.00437,-5.0,16
2,-75.85914,0.03171,0.26062,603.0,290.31269,-75.92883,0.26062,-75.88747,0.54126,-0.064,0.97173,0.00088,0.98562,0.00194,0.00194,-0.9864,0.9864,0.0,0.00343,-5.0,16
3,-75.84255,0.03576,0.28214,586.0,271.27531,-75.90992,0.28214,-75.88134,0.58532,-0.06453,0.9792,0.00072,0.98847,0.00075,0.00075,-0.99,0.99,0.0,0.00372,-5.0,16
4,-75.86185,0.0378,0.2415,617.0,284.06141,-75.90166,0.2415,-75.82681,1.07144,-0.06267,0.96747,0.00084,0.98566,0.00124,0.00124,-0.9884,0.9884,0.0,0.00318,-5.0,16
5,-75.80471,0.05715,0.27988,579.0,269.873,-75.88605,0.27988,-75.7916,1.25445,-0.06413,0.966,0.00073,0.98555,0.00075,0.00075,-0.9884,0.9884,0.0,0.00369,-5.0,16
6,-75.86982,0.0206,0.37784,672.0,317.16256,-75.9044,0.37784,-75.86942,0.68793,-0.06387,0.974,0.00077,0.98677,0.00125,0.00125,-0.9884,0.9884,0.0,0.00498,-5.0,16
7,-75.83691,0.04029,0.37578,590.0,275.38343,-75.87732,0.37578,-75.81847,1.07419,-0.064,0.96827,0.00072,0.98666,0.0015,0.0015,-0.9892,0.9892,0.0,0.00495,-5.0,16
8,-75.81765,0.0537,0.19251,584.0,297.30219,-75.89027,0.19251,-75.8978,0.92663,-0.06347,0.9664,0.00103,0.98366,0.001,0.001,-0.9856,0.9856,0.0,0.00254,-5.0,16
9,-75.8241,0.05285,0.2895,569.0,293.35689,-75.87908,0.2895,-75.88425,0.6281,-0.06533,0.9776,0.00063,0.99019,0.0005,0.0005,-0.9908,0.9908,0.0,0.00382,-5.0,16
0,-74.38096,0.03178,0.25367,591.0,282.28405,-74.42195,0.25367,-74.36805,0.59272,-0.0648,0.97813,0.00047,0.99034,0.00088,0.00088,-0.99267,0.99267,0.0,0.00341,-4.9,16
1,-74.38338,0.02423,0.35612,634.0,306.79455,-74.41106,0.35612,-74.3204,1.5155,-0.0644,0.97613,0.00095,0.98208,0.00175,0.00175,-0.9844,0.9844,0.0,0.00479,-4.9,16
2,-74.37564,0.03961,0.23693,594.0,283.75307,-74.41587,0.23693,-74.38023,0.65572,-0.06413,0.9812,0.00058,0.98958,0.00194,0.00194,-0.9908,0.9908,0.0,0.00318,-4.9,16
