epoch, energy, energy_std, energy_window, rel_error, time
0,-4.00962,0.17024,-4.00962,0.00000,0.00053,1.65789
1,-3.92154,0.41781,-3.96558,0.04404,0.02145,1.65174
2,-4.00851,0.17473,-3.97989,0.04126,0.00025,1.69251
3,-3.99270,0.17536,-3.98309,0.03616,0.00369,1.76391
4,-3.99424,0.17477,-3.98532,0.03265,0.00331,1.71660
5,-3.99859,0.17013,-3.98753,0.03021,0.00222,1.73891
6,-3.99588,0.17749,-3.98873,0.02813,0.00290,1.67486
7,-3.99899,0.17072,-3.99001,0.02653,0.00212,1.74972
8,-4.01005,0.17301,-3.99224,0.02579,0.00064,1.71028
9,-4.00267,0.17667,-3.99328,0.02467,0.00121,1.72236
10,-4.00212,0.16955,-3.99408,0.02366,0.00134,1.62809
11,-4.00676,0.16472,-3.99514,0.02292,0.00019,1.59164
12,-3.99986,0.17223,-3.99550,0.02205,0.00191,1.64350
13,-3.98866,0.17059,-3.99501,0.02133,0.00470,1.62012
14,-3.99454,0.16639,-3.99498,0.02060,0.00323,1.60496
15,-4.00214,0.17544,-3.99543,0.02002,0.00134,1.61789
16,-4.00273,0.17254,-3.99586,0.01950,0.00119,1.61647
17,-3.99778,0.17705,-3.99596,0.01896,0.00243,1.58198
18,-4.00295,0.17382,-3.99633,0.01852,0.00114,1.57718
19,-4.00638,0.17317,-3.99683,0.01818,0.00028,1.56151
20,-4.00286,0.16896,-3.99712,0.01779,0.00116,1.61332
21,-4.00765,0.17032,-3.99760,0.01752,0.00004,1.60965
22,-4.01332,0.17334,-3.99828,0.01743,0.00145,1.59923
23,-3.99535,0.17667,-3.99816,0.01707,0.00303,1.59769
24,-4.01323,0.17350,-3.99876,0.01699,0.00143,1.57612
25,-4.00372,0.17605,-3.99895,0.01668,0.00094,1.54857
26,-3.99761,0.17198,-3.99890,0.01637,0.00247,1.56529
27,-3.99918,0.17332,-3.99891,0.01608,0.00208,1.79630
28,-4.00237,0.17500,-3.99903,0.01581,0.00128,1.58875
29,-4.01390,0.18364,-3.99953,0.01577,0.00160,1.59656
30,-4.00222,0.18179,-3.99962,0.01552,0.00132,1.54253
31,-4.00036,0.17801,-3.99964,0.01528,0.00178,1.57838
32,-4.00066,0.17214,-3.99967,0.01505,0.00171,1.57602
33,-3.99290,0.17611,-3.99947,0.01487,0.00364,1.59776
34,-3.98943,0.17578,-3.99918,0.01475,0.00451,1.59359
35,-3.99922,0.17723,-3.99919,0.01454,0.00207,1.58072
36,-4.00835,0.17330,-3.99943,0.01442,0.00021,1.60244
37,-3.99997,0.17713,-3.99945,0.01423,0.00188,1.55751
38,-4.00170,0.17617,-3.99950,0.01405,0.00145,1.54310
39,-3.99350,0.17911,-3.99935,0.01391,0.00349,1.56016
40,-4.00018,0.18605,-3.99937,0.01374,0.00183,1.57099
41,-3.99893,0.18097,-3.99936,0.01357,0.00214,1.56898
42,-4.00128,0.17510,-3.99941,0.01342,0.00155,1.59740
43,-4.00632,0.17093,-3.99957,0.01330,0.00029,1.59165
44,-3.99378,0.17425,-3.99944,0.01318,0.00343,1.62977
45,-3.99881,0.17692,-3.99942,0.01304,0.00217,1.60725
46,-4.00533,0.17413,-3.99955,0.01293,0.00054,1.58971
47,-4.00160,0.17166,-3.99959,0.01280,0.00147,1.60933
48,-4.00548,0.17318,-3.99971,0.01269,0.00051,1.62848
49,-3.99617,0.17734,-3.99964,0.01257,0.00283,1.64352
50,-4.00761,0.17151,-3.99960,0.01255,0.00003,1.60471
51,-3.99440,0.17209,-4.00106,0.00583,0.00327,1.64445
52,-4.00083,0.17481,-4.00091,0.00573,0.00166,1.67280
53,-4.00275,0.17517,-4.00111,0.00561,0.00119,1.72885
54,-4.00503,0.17715,-4.00132,0.00555,0.00062,1.57982
55,-3.99081,0.16822,-4.00117,0.00573,0.00416,1.62101
56,-4.00075,0.17283,-4.00126,0.00568,0.00168,1.61854
57,-4.00167,0.16752,-4.00132,0.00567,0.00146,1.59177
58,-3.99501,0.17560,-4.00102,0.00560,0.00312,1.60623
59,-3.99824,0.17351,-4.00093,0.00561,0.00231,1.57076
60,-4.00474,0.17614,-4.00098,0.00563,0.00069,1.60541
61,-3.99920,0.17766,-4.00083,0.00557,0.00207,1.62469
62,-3.99605,0.17237,-4.00075,0.00561,0.00286,1.58381
63,-3.99555,0.17616,-4.00089,0.00539,0.00298,1.61271
64,-4.00057,0.17600,-4.00101,0.00532,0.00173,1.57601
65,-4.00251,0.17491,-4.00102,0.00532,0.00124,1.61179
66,-3.98665,0.17055,-4.00070,0.00568,0.00520,1.58317
67,-3.99952,0.17388,-4.00073,0.00567,0.00199,1.55621
68,-4.00263,0.17181,-4.00073,0.00567,0.00122,1.59902
69,-3.99376,0.16924,-4.00047,0.00569,0.00343,1.60558
70,-4.00384,0.17685,-4.00049,0.00570,0.00091,1.59865
71,-3.99447,0.17191,-4.00023,0.00567,0.00325,1.60040
72,-3.99797,0.17879,-3.99992,0.00536,0.00238,1.63802
